Date,Preço,MA7,MA25,NumTransacoes
2021-06-07,4226.52002,4209.201451,4176.65644536,4476920000
2021-06-08,4227.259766,4212.970005714285,4178.04042976,4659620000
2021-06-09,4219.549805,4215.175711714286,4180.23601572,4713260000
2021-06-10,4239.180176,4220.481445571429,4183.099629,4408210000
2021-06-11,4247.439941,4226.098563285715,4184.93242196,3815010000
2021-06-14,4255.149902,4234.998535285714,4185.83441412,4151200000
2021-06-15,4246.589844,4237.384207714285,4188.16080084,4048940000
2021-06-16,4223.700195,4236.9813755714285,4191.02480472,4538350000
2021-06-17,4221.859863,4236.2099608571425,4197.377597680001,5312680000
2021-06-18,4166.450195,4228.624302285714,4199.5356054799995,6817010000
2021-06-21,4224.790039,4226.568568428572,4201.57320312,4128950000
2021-06-22,4246.439941,4226.425711285714,4204.8991992,3828390000
2021-06-23,4241.839844,4224.5242744285715,4209.459589839999,3730350000
2021-06-24,4266.490234,4227.367187285715,4215.49199216,3816660000
2021-06-25,4280.700195,4235.510044428572,4220.355195280001,7341450000
2021-06-28,4290.609863,4245.331473,4225.74519528,4147890000
2021-06-29,4291.799805,4263.238560142857,4229.53519528,3707150000
2021-06-30,4297.5,4273.625697428572,4233.909999959999,4266040000
2021-07-01,4319.939941,4284.125697428572,4238.86798824,3788230000
2021-07-02,4352.339844,4299.911411714285,4244.92638668,3225840000
2021-07-06,4343.540039,4310.918526714285,4250.50359372,4309570000
2021-07-07,4358.129883,4321.979910714285,4256.74718748,4037380000
2021-07-08,4320.819824,4326.295619428572,4261.2551757599995,4347500000
2021-07-09,4369.549805,4337.402762285715,4268.32316404,3531120000
2021-07-12,4384.629883,4349.849888428571,4274.51275388,3384460000
2021-07-13,4369.209961,4356.888462714285,4280.22035152,3695430000
2021-07-14,4374.299805,4360.0256,4286.10195308,4006370000
2021-07-15,4360.029785,4362.381278,4291.72115228,3905230000
2021-07-16,4327.160156,4357.957031285714,4295.24035148,3985700000
2021-07-19,4258.490234,4349.052804142857,4295.6823632000005,5157660000
2021-07-20,4323.060059,4342.411411857142,4298.39876948,4438270000
2021-07-21,4358.689941,4338.705705857143,4302.88277336,3810280000
2021-07-22,4367.47998,4338.458565714286,4308.63396476,3358300000
2021-07-23,4411.790039,4343.814313428572,4316.231171799999,4540070000
2021-07-26,4422.299805,4352.710030571428,4326.4651562,4275630000
2021-07-27,4401.459961,4363.324288428571,4333.53195308,4241950000
2021-07-28,4400.640137,4383.631417428572,4339.69996092,4215290000
2021-07-29,4419.149902,4397.358537857142,4346.79236324,4044600000
2021-07-30,4395.259766,4402.582798571429,4351.94314452,3956740000
2021-08-02,4387.160156,4405.394252285714,4356.20154296,3724090000
2021-08-03,4423.149902,4407.017089857143,4361.50314452,3965190000
2021-08-04,4402.660156,4404.211425714286,4365.93755856,4260760000
2021-08-05,4429.100098,4408.160016714285,4371.20156248,3769410000
2021-08-06,4436.52002,4413.285714285715,4375.86476564,3451870000
2021-08-09,4432.350098,4415.171456571429,4379.065175799999,3449280000
2021-08-10,4436.75,4421.0986328571435,4382.7935742399995,3886610000
2021-08-11,4442.410156,4428.991489999999,4386.16478516,3532560000
2021-08-12,4460.830078,4434.374372285713,4391.76519532,3375310000
2021-08-13,4468.0,4443.708635714285,4395.70320312,3016470000
2021-08-16,4479.709961,4450.9386161428565,4399.50640624,3370640000
2021-08-17,4448.080078,4452.590053,4402.66121092,3836960000
2021-08-18,4400.27002,4448.007184714285,4403.70001952,3755590000
2021-08-19,4405.799805,4443.585728285714,4405.53082032,4398410000
2021-08-20,4441.669922,4443.479980571428,4410.11121096,3652610000
2021-08-23,4479.529785,4446.1513672857145,4418.952793,3576530000
2021-08-24,4486.22998,4448.755650142857,4425.47958984,3979220000
2021-08-25,4496.189941,4451.109933,4430.97958984,3444700000
2021-08-26,4470.0,4454.241350428571,4435.08039064,3263980000
2021-08-27,4509.370117,4469.8270785714285,4438.983593759999,3331200000
2021-08-30,4528.790039,4487.397112,4443.24320312,3168660000
2021-08-31,4522.680176,4498.970005428571,4448.09201172,4290710000
2021-09-01,4524.089844,4505.335728142857,4453.03,4057340000
2021-09-02,4536.950195,4512.581473142857,4457.74201172,3735990000
2021-09-03,4535.430176,4518.187221,4463.34882812,3217530000
2021-09-07,4520.029785,4525.334333142857,4468.66361328,3822960000
2021-09-08,4514.069824,4526.005719857143,4472.30041016,3750880000
2021-09-09,4493.279785,4520.932826428571,4475.92519532,3735390000
2021-09-10,4458.580078,4511.775669571429,4477.10439452,3623180000
2021-09-13,4468.72998,4503.867117571429,4478.39279292,3914220000
2021-09-14,4443.049805,4490.452776142857,4478.8207812,3670460000
2021-09-15,4480.700195,4482.634207428572,4480.578789,4032020000
2021-09-16,4473.75,4476.022809571428,4481.83238276,3984560000
2021-09-17,4432.990234,4464.440011,4480.7187890000005,7289530000
2021-09-20,4357.72998,4445.075753142858,4476.3079882,4898070000
