Hoje,Amanha
"105.39","103.0"
"103.0","103.32"
"103.32","104.18"
"104.18","103.27"
"103.27","103.21"
"103.21","103.28"
"103.28","102.94"
"102.94","102.41"
"102.41","102.06"
"102.06","102.01"
"102.01","104.34"
"104.34","105.63"
"105.63","105.97"
"105.97","106.98"
"106.98","103.1"
"103.1","103.44"
"103.44","104.19"
"104.19","103.35"
"103.35","105.67"
"105.67","104.6"
"104.6","102.82"
"102.82","102.89"
"102.89","101.82"
"101.82","102.33"
"102.33","102.54"
"102.54","105.46"
"105.46","104.58"
"104.58","103.91"
"103.91","103.45"
"103.45","104.69"
"104.69","97.87"
"97.87","98.15"
"98.15","96.81"
"96.81","98.58"
"98.58","101.65"
"101.65","101.02"
"101.02","103.64"
"103.64","106.48"
"106.48","106.26"
"106.26","106.22"
"106.22","105.87"
"105.87","105.86"
"105.86","105.3"
"105.3","106.15"
"106.15","104.44"
"104.44","104.97"
"104.97","103.37"
"103.37","101.81"
"101.81","101.37"
"101.37","104.38"
"104.38","103.47"
"103.47","108.03"
"108.03","106.87"
"106.87","107.2"
"107.2","106.22"
"106.22","104.89"
"104.89","105.2"
"105.2","105.03"
"105.03","106.55"
"106.55","107.78"
"107.78","107.32"
"107.32","107.81"
"107.81","108.9"
"108.9","111.34"
"111.34","110.46"
"110.46","107.62"
"107.62","106.34"
"106.34","107.57"
"107.57","106.25"
"106.25","104.97"
"104.97","107.35"
"107.35","109.9"
"109.9","109.13"
"109.13","110.27"
"110.27","109.27"
"109.27","109.38"
"109.38","111.02"
"111.02","113.15"
"113.15","113.19"
"113.19","113.04"
"113.04","113.18"
"113.18","113.81"
"113.81","115.36"
"115.36","115.16"
"115.16","116.66"
"116.66","118.34"
"118.34","117.6"
"117.6","116.27"
"116.27","116.74"
"116.74","115.92"
"115.92","117.56"
"117.56","115.92"
"115.92","116.15"
"116.15","112.4"
"112.4","114.63"
"114.63","114.49"
"114.49","115.72"
"115.72","114.11"
"114.11","113.48"
"113.48","114.74"
"114.74","114.34"
"114.34","114.3"
"114.3","113.55"
"113.55","109.79"
"109.79","110.49"
"110.49","111.2"
"111.2","110.98"
"110.98","111.07"
"111.07","109.67"
"109.67","111.41"
"111.41","110.92"
"110.92","112.52"
"112.52","112.63"
"112.63","112.85"
"112.85","113.51"
"113.51","113.88"
"113.88","113.34"
"113.34","113"
"113","111.12"
"111.12","111.99"
"111.99","111.33"
"111.33","111.52"
"111.52","111.39"
"111.39","112.21"
"112.21","112.56"
"112.56","112.45"
"112.45","111.89"
"111.89","111.36"
"111.36","111.39"
"111.39","109.7"
"109.7","110.97"
"110.97","111.85"
"111.85","111.56"
"111.56","111.99"
"111.99","113.04"
"113.04","112.24"
"112.24","112.27"
"112.27","111.81"
"111.81","113.41"
"113.41","114.97"
"114.97","115.73"
"115.73","117.14"
"117.14","115.99"
"115.99","117.47"
"117.47","118.46"
"118.46","119.55"
"119.55","119.8"
"119.8","118.97"
"118.97","118.73"
"118.73","115.32"
"115.32","117.42"
"117.42","119.27"
"119.27","122.63"
"122.63","125.97"
"125.97","126.06"
"126.06","126.03"
"126.03","122.41"
"122.41","122.38"
"122.38","121.43"
"121.43","120.37"
"120.37","119.13"
"119.13","118.25"
"118.25","119.03"
"119.03","119.05"
"119.05","117.94"
"117.94","116.39"
"116.39","116.5"
"116.5","115.75"
"115.75","116.76"
"116.76","117.54"
"117.54","116.57"
"116.57","115.68"
"115.68","114.32"
"114.32","114.63"
"114.63","115.15"
"115.15","115.08"
"115.08","115.57"
"115.57","114.32"
"114.32","115.12"
"115.12","115.61"
"115.61","117.49"
"117.49","117.45"
"117.45","117.37"
"117.37","117.19"
"117.19","115.79"
"115.79","118.04"
"118.04","118.79"
"118.79","119.34"
"119.34","119.18"
"119.18","118.86"
"118.86","114.64"
"114.64","114.67"
"114.67","113.41"
"113.41","111.82"
"111.82","112.22"
"112.22","113.07"
"113.07","114.14"
"114.14","114.11"
"114.11","113.68"
"113.68","111.71"
"111.71","112.17"
"112.17","110.31"
"110.31","112.92"
"112.92","111.46"
"111.46","110.85"
"110.85","111.64"
"111.64","112.21"
"112.21","111.22"
"111.22","110.94"
"110.94","111"
"111","110.76"
"110.76","111.87"
"111.87","111.45"
"111.45","113.37"
"113.37","113.49"
"113.49","113.86"
"113.86","114.44"
"114.44","114.55"
"114.55","114.71"
"114.71","114.92"
"114.92","113.51"
"113.51","113.2"
"113.2","106.07"
"106.07","109.8"
"109.8","111.45"
"111.45","112.61"
"112.61","112.16"
"112.16","116.91"
"116.91","115.16"
"115.16","114.13"
"114.13","113.25"
"113.25","111.44"
"111.44","111.72"
"111.72","111.87"
"111.87","112.23"
"112.23","112.52"
"112.52","112.9"
"112.9","110.78"
"110.78","111.45"
"111.45","113.58"
"113.58","113.97"
"113.97","110.66"
"110.66","110.73"
"110.73","109.64"
"109.64","108.66"
"108.66","111.42"
"111.42","111.24"
"111.24","113.36"
"113.36","116.26"
"116.26","116.25"
"116.25","115.35"
"115.35","116.73"
"116.73","115.56"
"115.56","114.71"
"114.71","114.68"
"114.68","113.59"
"113.59","108.63"
"108.63","108.09"
"108.09","110.37"
"110.37","111.74"
"111.74","112.37"
"112.37","114.22"
"114.22","115.57"
"115.57","116.38"
"116.38","116.24"
"116.24","116.97"
